Entitï¿½;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
PTPL44;01;LA1A001;2022-01-19;20:00;0440018;CASSAV;0442443;ASBR 1; 2/3;25-20,27-29,22-25,25-19,12-15;111-108;SALLE RAPHAEL LEBEL;;;;
PTPL44;01;LA1A002;2022-01-19;20:00;0446750;JGE SUCE 1;0442446;ASPTT 2; 3/0;25-17,25-20,26-24;76-61;SALLE DE LA PAPINIERE;;;;
PTPL44;01;LA1A003;2022-01-17;20:30;0442446;ASPTT 1;0440018;US PONT SAINT MARTIN; 3/0;25-22,25-21,26-24;76-67;SALLE LONGCHAMP;;;;
PTPL44;01;LA1A004;2022-01-19;20:00;0448335;ST HERBLAIN VB 2;0440018;ALCVB 1;;;;LA SENSIVE;;;;
PTPL44;01;LA1A005;2022-01-18;20:45;0448821;US BOUGUENAIS 1;0440018;LEO DETENTE 1;;;;SALLE DE LA GAGNERIE;;;;
PTPL44;02;LA1A006;2022-01-26;20:15;0442443;ASBR 1;0440018;LEO DETENTE 1;;;;GYMNASE L. ET M. LIBERGE;;;;
PTPL44;02;LA1A007;2022-01-27;20:30;0440018;ALCVB 1;0448821;US BOUGUENAIS 1;;;;SALLE DU CHEVALIER;;;;
PTPL44;02;LA1A008;2022-01-24;20:30;0440018;US PONT SAINT MARTIN;0448335;ST HERBLAIN VB 2;;;;SALLE GARDIN;;;;
PTPL44;02;LA1A009;2022-01-24;20:30;0442446;ASPTT 2;0442446;ASPTT 1; 0/3;10-25,20-25,14-25;44-75;SALLE LONGCHAMP;;;;
PTPL44;02;LA1A010;2022-01-26;20:00;0440018;CASSAV;0446750;JGE SUCE 1;;;;SALLE RAPHAEL LEBEL;;;;
PTPL44;03;LA1A011;2022-02-02;20:00;0446750;JGE SUCE 1;0442443;ASBR 1; 3/0;25-13,25-17,25-16;75-46;SALLE DE LA PAPINIERE;;;;
PTPL44;03;LA1A012;2022-01-31;20:30;0442446;ASPTT 1;0440018;CASSAV;;;;SALLE LONGCHAMP;;;;
PTPL44;03;LA1A013;2022-02-02;20:00;0448335;ST HERBLAIN VB 2;0442446;ASPTT 2; 3/0;25-22,25-22,25-17;75-61;LA SENSIVE;;;;
PTPL44;03;LA1A014;2022-02-01;20:45;0448821;US BOUGUENAIS 1;0440018;US PONT SAINT MARTIN; 3/2;21-25,30-28,22-25,25-19,15-10;113-107;SALLE DE LA GAGNERIE;;;;
PTPL44;03;LA1A015;2022-02-04;20:00;0440018;LEO DETENTE 1;0440018;ALCVB 1;;;;SALLE GASTON TURPIN;;;;
PTPL44;04;LA1A016;2022-02-23;20:15;0442443;ASBR 1;0440018;ALCVB 1;;;;GYMNASE L. ET M. LIBERGE;;;;
PTPL44;04;LA1A017;2022-02-21;20:30;0440018;US PONT SAINT MARTIN;0440018;LEO DETENTE 1;;;;SALLE GARDIN;;;;
PTPL44;04;LA1A018;2022-02-21;20:30;0442446;ASPTT 2;0448821;US BOUGUENAIS 1;;;;SALLE LONGCHAMP;;;;
PTPL44;04;LA1A019;2022-02-23;20:00;0440018;CASSAV;0448335;ST HERBLAIN VB 2;;;;SALLE RAPHAEL LEBEL;;;;
PTPL44;04;LA1A020;2021-02-23;20:00;0446750;JGE SUCE 1;0442446;ASPTT 1;;;;SALLE DE LA PAPINIERE;;;;
PTPL44;05;LA1A021;2022-02-28;20:30;0442446;ASPTT 1;0442443;ASBR 1;;;;SALLE LONGCHAMP;;;;
PTPL44;05;LA1A022;2022-03-02;20:00;0448335;ST HERBLAIN VB 2;0446750;JGE SUCE 1;;;;LA SENSIVE;;;;
PTPL44;05;LA1A023;2022-03-01;20:45;0448821;US BOUGUENAIS 1;0440018;CASSAV;;;;SALLE DE LA GAGNERIE;;;;
PTPL44;05;LA1A024;2022-03-04;20:00;0440018;LEO DETENTE 1;0442446;ASPTT 2;;;;SALLE GASTON TURPIN;;;;
PTPL44;05;LA1A025;2022-03-03;20:30;0440018;ALCVB 1;0440018;US PONT SAINT MARTIN;;;;SALLE DU CHEVALIER;;;;
PTPL44;06;LA1A026;2022-03-16;20:15;0442443;ASBR 1;0440018;US PONT SAINT MARTIN;;;;GYMNASE L. ET M. LIBERGE;;;;
PTPL44;06;LA1A027;2022-03-14;20:30;0442446;ASPTT 2;0440018;ALCVB 1;;;;SALLE LONGCHAMP;;;;
PTPL44;06;LA1A028;2022-03-16;20:00;0440018;CASSAV;0440018;LEO DETENTE 1;;;;SALLE RAPHAEL LEBEL;;;;
PTPL44;06;LA1A029;2022-03-16;20:00;0446750;JGE SUCE 1;0448821;US BOUGUENAIS 1;;;;SALLE DE LA PAPINIERE;;;;
PTPL44;06;LA1A030;2022-03-14;20:30;0442446;ASPTT 1;0448335;ST HERBLAIN VB 2;;;;SALLE LONGCHAMP;;;;
PTPL44;07;LA1A031;2022-03-23;20:00;0448335;ST HERBLAIN VB 2;0442443;ASBR 1;;;;LA SENSIVE;;;;
PTPL44;07;LA1A032;2022-03-22;20:45;0448821;US BOUGUENAIS 1;0442446;ASPTT 1;;;;SALLE DE LA GAGNERIE;;;;
PTPL44;07;LA1A033;2022-03-25;20:00;0440018;LEO DETENTE 1;0446750;JGE SUCE 1;;;;SALLE GASTON TURPIN;;;;
PTPL44;07;LA1A034;2022-03-24;20:30;0440018;ALCVB 1;0440018;CASSAV;;;;SALLE DU CHEVALIER;;;;
PTPL44;07;LA1A035;2022-03-21;20:30;0440018;US PONT SAINT MARTIN;0442446;ASPTT 2;;;;SALLE GARDIN;;;;
PTPL44;08;LA1A036;2022-03-30;20:15;0442443;ASBR 1;0442446;ASPTT 2;;;;GYMNASE L. ET M. LIBERGE;;;;
PTPL44;08;LA1A037;2022-03-30;20:00;0440018;CASSAV;0440018;US PONT SAINT MARTIN;;;;SALLE RAPHAEL LEBEL;;;;
PTPL44;08;LA1A038;2022-03-30;20:00;0446750;JGE SUCE 1;0440018;ALCVB 1;;;;SALLE DE LA PAPINIERE;;;;
PTPL44;08;LA1A039;2022-03-28;20:30;0442446;ASPTT 1;0440018;LEO DETENTE 1;;;;SALLE LONGCHAMP;;;;
PTPL44;08;LA1A040;2022-03-30;20:00;0448335;ST HERBLAIN VB 2;0448821;US BOUGUENAIS 1;;;;LA SENSIVE;;;;
PTPL44;09;LA1A041;2022-04-05;20:45;0448821;US BOUGUENAIS 1;0442443;ASBR 1;;;;SALLE DE LA GAGNERIE;;;;
PTPL44;09;LA1A042;2022-04-08;20:00;0440018;LEO DETENTE 1;0448335;ST HERBLAIN VB 2;;;;SALLE GASTON TURPIN;;;;
PTPL44;09;LA1A043;2022-04-07;20:30;0440018;ALCVB 1;0442446;ASPTT 1;;;;SALLE DU CHEVALIER;;;;
PTPL44;09;LA1A044;2022-04-04;20:30;0440018;US PONT SAINT MARTIN;0446750;JGE SUCE 1;;;;SALLE GARDIN;;;;
PTPL44;09;LA1A045;2022-04-04;20:30;0442446;ASPTT 2;0440018;CASSAV;;;;SALLE LONGCHAMP;;;;
